;;T(entropy,4,0.01,0.3);
9;IndianPines,(3,false,"o_RCC5","TestOpAll");(71.36, 80.0, 98.64, 84.21, 73.75, 00:22:22);
10;IndianPines,(3,false,"o_RCC5","TestOpAll");(76.36, 75.0, 99.09, 88.24, 78.33, 00:28:35);
1;PaviaCentre,(3,false,"o_RCC8","TestOpAll");(88.75, 80.0, 97.5, 80.0, 90.0, 00:11:57);
2;PaviaCentre,(3,false,"o_RCC8","TestOpAll");(91.25, 90.0, 98.75, 90.0, 92.22, 00:08:25);
3;PaviaCentre,(3,false,"o_RCC8","TestOpAll");(86.25, 95.0, 98.12, 86.36, 87.78, 00:11:20);
4;PaviaCentre,(3,false,"o_RCC8","TestOpAll");(91.88, 95.0, 98.12, 86.36, 92.78, 00:13:33);
5;PaviaCentre,(3,false,"o_RCC8","TestOpAll");(90.0, 80.0, 100.0, 100.0, 91.11, 00:11:50);
6;PaviaCentre,(3,false,"o_RCC8","TestOpAll");(85.0, 95.0, 96.25, 76.0, 86.67, 00:11:59);
7;PaviaCentre,(3,false,"o_RCC8","TestOpAll");(91.25, 85.0, 98.75, 89.47, 92.22, 00:10:30);
8;PaviaCentre,(3,false,"o_RCC8","TestOpAll");(90.63, 85.0, 98.75, 89.47, 91.67, 00:06:11);
9;PaviaCentre,(3,false,"o_RCC8","TestOpAll");(87.5, 90.0, 98.75, 90.0, 88.89, 00:06:16);
10;PaviaCentre,(3,false,"o_RCC8","TestOpAll");(92.5, 100.0, 98.75, 90.91, 93.33, 00:11:55);
1;PaviaCentre,(3,false,"o_RCC5","TestOpAll");(88.75, 80.0, 97.5, 80.0, 90.0, 00:09:30);
2;PaviaCentre,(3,false,"o_RCC5","TestOpAll");(89.38, 90.0, 98.75, 90.0, 90.56, 00:08:35);
3;PaviaCentre,(3,false,"o_RCC5","TestOpAll");(86.25, 95.0, 98.12, 86.36, 87.78, 00:09:41);
4;PaviaCentre,(3,false,"o_RCC5","TestOpAll");(91.88, 85.0, 98.12, 85.0, 92.78, 00:09:18);
5;PaviaCentre,(3,false,"o_RCC5","TestOpAll");(87.5, 85.0, 98.12, 85.0, 88.89, 00:08:55);
6;PaviaCentre,(3,false,"o_RCC5","TestOpAll");(85.0, 95.0, 96.25, 76.0, 86.67, 00:08:29);
7;PaviaCentre,(3,false,"o_RCC5","TestOpAll");(91.25, 90.0, 98.12, 85.71, 92.22, 00:08:06);
8;PaviaCentre,(3,false,"o_RCC5","TestOpAll");(83.12, 70.0, 97.5, 77.78, 85.0, 00:09:51);
9;PaviaCentre,(3,false,"o_RCC5","TestOpAll");(90.0, 100.0, 98.75, 90.91, 91.11, 00:08:35);
10;PaviaCentre,(3,false,"o_RCC5","TestOpAll");(91.25, 95.0, 98.75, 90.48, 92.22, 00:08:27);
1;Salinas,(3,false,"o_RCC8","TestOpAll");(91.0, 95.0, 100.0, 100.0, 91.56, 00:19:47);
2;Salinas,(3,false,"o_RCC8","TestOpAll");(92.0, 100.0, 100.0, 100.0, 92.5, 00:23:58);
3;Salinas,(3,false,"o_RCC8","TestOpAll");(91.67, 95.0, 100.0, 100.0, 92.19, 00:25:48);
4;Salinas,(3,false,"o_RCC8","TestOpAll");(92.33, 100.0, 100.0, 100.0, 92.81, 00:28:52);
5;Salinas,(3,false,"o_RCC8","TestOpAll");(94.0, 95.0, 100.0, 100.0, 94.38, 00:25:11);
6;Salinas,(3,false,"o_RCC8","TestOpAll");(91.67, 100.0, 99.67, 95.24, 92.19, 00:28:35);
